Versionsstand der Moduln von Murus

(c) Christian Maurer   1986-2008

                            2004

Kurshalbjahre.def        3. November
Fonts.def               15. Dezember
Fonts.mod               15. Dezember
Kurshalbjahre.mod       23. Dezember

                            2005

Cardinalkern.def         5. April
Cardinalkern.s           5. April
Cardinals.def           19. April
Lehrermenge.def         24. Mai
Zeitkern.mod            29. August
Zeitkern.def            30. August
Strichstaerken.def      15. September
Sortierungen.def        20. Oktober
Auto.def                 3. Dezember
Verpflichtungen.def     12. Dezember
Verpflichtungen.mod     12. Dezember
Sortierungen.mod        28. Dezember

                            2006

MurusStorage.mod         7. Januar
Anreden.def              8. Januar
Anschriften.def          8. Januar
Benutzerinnen.def        8. Januar
Benutzerinnen.mod        8. Januar
Betraege.def             8. Januar
BFolgen.mod              8. Januar
BSchlangen.def           8. Januar
BSchlangen.mod           8. Januar
Druckfelder.def          8. Januar
Fachmengen.def           8. Januar
Fachmengen.mod           8. Januar
Grundobjekte.def         8. Januar
Klassenstufen.def        8. Januar
Klassenstufen.mod        8. Januar
Kurse.def                8. Januar
Kursnummern.def          8. Januar
Lehrerinnen.def          8. Januar
Lehrerinnen.mod          8. Januar
KBNatZahlen.def          8. Januar
Maskenmengen.def         8. Januar
MBSchlangen.mod          8. Januar
MSchlangen.mod           8. Januar
MStapel.mod              8. Januar
Noten.def                8. Januar
Personen.def             8. Januar
Religionen.def           8. Januar
Religionen.mod           8. Januar
Schlangen.def            8. Januar
Schlangen.mod            8. Januar
Schuelerinnen.def        8. Januar
Schulhalbjahre.def       8. Januar
Schulhalbjahre.mod       8. Januar
Staaten.def              8. Januar
Texte.def                8. Januar
Verbundobjekte.def       8. Januar
Zeichen.def              8. Januar
Zeichen.mod              8. Januar
ZFolgen.def              8. Januar
Betraege.mod             9. Januar
Semesterdaten.def       11. Januar
Semesterdaten.mod       11. Januar
Aufzaehltypen.def       21. Januar
Wortsammlungen.def      21. Januar
Aktionen.def            25. Januar
LinksRechts.mod         26. Januar
PKalDatMengen.def        7. Februar
Zufall.def              12. Februar
Texte.mod                9. März
Stapel.def              10. März
Stapel.mod              10. März
Kanten.def              11. März
Ecken.def               12. März
Abbruch.def              3. April
Maus.def                 3. April
GraphEditor.def         10. April
Bilder.def              15. April
Umgebung.mod            28. April
PKalDatMengen.mod        9. Mai
Bilder.mod              10. Mai
Umgebung.def            10. Mai
Graphen.def             13. Mai
Kanten.mod              13. Mai
PIMengen.def            26. Mai
PMengen.def              5. Juni
Sprachenfolgen.mod       7. Juni
Stroeme.def             11. Juni
Stroeme.mod             11. Juni
Strichstaerken.mod      14. August
Ecken.mod               22. August
Konsolenfonts.def       22. August
Schriftartauswahl.def   22. August
Konsolenfonts.mod       24. August
Druckfelder.mod         26. August
KBNatZahlen.mod         26. August
RatZahlen.def           27. August
RatZahlen.mod           27. August
BNatZahlen.def          28. August
NatZahlen.def           28. August
NatZahlen.mod           28. August
Farbauswahl.def         30. August
SchriftGross.def         5. September
SchriftGross.mod         5. September
Maschine.s              12. September
BNatZahlen.mod          19. September
Wahrheitswerte.def      24. September
Auto.mod                30. Oktober
MinMengen.def            9. November
PFolgen.def              9. November
allgemeineObjekte.def   10. November
allgemeineObjekte.mod   10. November
PMengen.mod             14. November
Folgen.def              24. November
Meldungen.def           24. November
Felder.def               4. Dezember
Zahlen.def              10. Dezember
Zahlen.mod              10. Dezember
Anreden.mod             27. Dezember
Wahrheitswerte.mod      27. Dezember
Telefonnummern.mod      28. Dezember

                            2007

Aktionen.mod             2. Januar
Auswahlen.def            2. Januar
Grundobjekte.mod         2. Januar
Postleitzahlen.def       2. Januar
Postleitzahlen.mod       2. Januar
Schriftartauswahl.mod    2. Januar
Sprachenfolgen.def       2. Januar
Telefonnummern.def       2. Januar
MinMengen.mod            4. Januar
Noten.mod                5. Januar
PIMengen.mod            21. Januar
Farbauswahl.mod         22. Januar
Schuelermengen.def      26. Januar
Mengen.def              29. Januar
Mengen.mod              29. Januar
LeserSchreiber.mod      31. Januar
Permutationen.def       31. Januar
Semaphore.mod           31. Januar
Farben.def              11. Februar
Schloesser.mod          19. April
Progression.def          2. Mai
Folgen.mod               9. Mai
Strecken.def            11. Mai
Abbruch.mod              6. Juni
ZFolgen.mod              6. Juni
Farben.mod              26. Juni
Prozesse.mod            12. Juli
Dateibaum.mod           25. Juli
Dateibaum.def           29. Juli
Balkenanzeigen.def       7. August
CD.def                   8. August
Maus.mod                11. August
Muruskern.c             13. August
X.def                   16. August
Auge.def                19. August
Raum.def                19. August
Raum.mod                19. August
Vektoren.def            19. August
Vektoren.mod            19. August
Auge.mod                20. August
Strecken.mod            20. August
Streckenfolge.def       23. August
Streckenfolge.mod       23. August
Kalenderdaten.def        8. Oktober
murus1.map               8. Oktober
murus.map                8. Oktober
Zufall.mod               6. November
Barrieren.mod            5. Dezember
BFolgen.def              5. Dezember
LinksRechts.def          5. Dezember
LSAbschnitte.1.mod       5. Dezember
LSAbschnitte.2.mod       5. Dezember
LSAbschnitte.mod         5. Dezember
Maschine.def             5. Dezember
MStapel.def              5. Dezember
Prozesse.def             5. Dezember
KritischeAbschnitte.mod  6. Dezember
BLRAbschnitte.mod       12. Dezember
BLSAbschnitte.mod       12. Dezember
KritischeAbschnitte.def 12. Dezember
LRAbschnitte.mod        12. Dezember
MBSchlangen.def         12. Dezember
MSchlangen.def          12. Dezember
Semaphore.def           12. Dezember
Monitore.mod            13. Dezember

                            2008

Cardinals.mod           17. Januar
INTMengen.def           28. Januar
INTMengen.mod           28. Januar
Integers.def             1. Februar
Permutationen.mod        9. Februar
BPrioSchlangen.def      11. Februar
BPrioSchlangen.mod      11. Februar
PrioSchlangen.def       11. Februar
PrioSchlangen.mod       11. Februar
CD.mod                  18. Februar
X.mod                   18. Februar
Barrieren.def           23. Februar
BLSAbschnitte.def       23. Februar
BLRAbschnitte.def       23. Februar
LeserSchreiber.def      23. Februar
LSAbschnitte.def        23. Februar
LRAbschnitte.def        23. Februar
PFolgen.mod              6. März
Schuelermengen.def      10. März
Schuelermenge.def       12. März
Schulfaecher.def        17. März
Kursnummern.mod         19. März
Schulfaecher.mod        19. März
Schuelermenge.mod       22. März
Schuelermengen.mod      22. März
Monitore.def             8. April
Balkenanzeigen.mod       4. Mai
Progression.mod          4. Mai
Bildschirm.def           5. Mai
Muruskern.def            5. Mai
FBSchlangen.def          9. Mai
FBSchlangen.mod          9. Mai
FPIMengen.def            9. Mai
FPIMengen.mod            9. Mai
FSchlangen.def           9. Mai
FSchlangen.mod           9. Mai
FSchuelermenge.def       9. Mai
FSchuelermenge.mod       9. Mai
FSchuelermengen.def      9. Mai
FSemaphore.def           9. Mai
FSemaphore.mod           9. Mai
FLRAbschnitte.def        9. Mai
FLRAbschnitte.mod        9. Mai
FLSAbschnitte.def        9. Mai
FLSAbschnitte.mod        9. Mai
IP.def                   9. Mai
Anschriften.mod         12. Mai
Aufzaehltypen.mod       12. Mai
Auswahlen.mod           12. Mai
Felder.mod              12. Mai
Figuren.mod             12. Mai
FSchuelermengen.mod     12. Mai
GraphEditor.mod         12. Mai
Kalenderdaten.mod       12. Mai
Kurse.mod               12. Mai
Lehrermenge.mod         12. Mai
Maskenmengen.mod        12. Mai
Meldungen.mod           12. Mai
Personen.mod            12. Mai
Schuelerinnen.mod       12. Mai
Schuelermengen.mod      12. Mai
Wortsammlungen.mod      12. Mai
Murustest.c              7. Juni
Murustest.def            7. Juni
Kanalmodelle.def         9. Mai
Kanalmodelle.mod         9. Juni
Kanaele.def              9. Juni
Schloesser.def           9. Juni
VarFolgen.def            9. Juni
VarFolgen.mod            9. Juni
VSchloesser.def          9. Juni
Murus.mod               11. Juni
VSchloesser.mod         11. Juni
Figuren.def              4. Juli
FMonitore.def            7. Juli
FMonitore.mod            7. Juli
Graphen.mod              7. Juli
Kanaele.mod              7. Juli
Prozedurtypen.def        7. Juli
Prozedurtypen.mod        7. Juli
Stroeme.def             20. Juli
Stroeme.mod             20. Juli
Zeichenketten.def       22. Juli
Zeichenketten.mod       22. Juli
Uhrzeiten.def           11. August
Uhrzeiten.mod           11. August
PFolgen.mod             14. August
PFolgenkern.def         14. August
PFolgenkern.mod         14. August
Verbundobjekte.mod      21. August
IP.mod                  23. August
Drucker.def             24. August
Drucker.mod             24. August
Bildschirm.mod           3. September
Staaten.mod              3. September
Maus3D.def               6. September
Maus3D.mod               6. September
Tastatur.def             6. September
Tastatur.mod             6. September
XKern.def                6. September
XKern.mod                6. September
Murusversion.mod         6. September
